h;E(h)
1.13575e-17;0.980067
9.93778e-18;0.980067
8.69556e-18;0.980067
7.60861e-18;0.980067
6.65753e-18;0.980067
5.82534e-18;0.980067
5.09717e-18;0.980067
4.46003e-18;0.980067
3.90252e-18;0.980067
3.41471e-18;0.980067
2.98787e-18;0.980067
2.61439e-18;0.980067
2.28759e-18;0.980067
2.00164e-18;0.980067
1.75143e-18;0.980067
1.53251e-18;0.980067
1.34094e-18;0.980067
1.17332e-18;0.980067
1.02666e-18;0.980067
8.98327e-19;0.980067
7.86036e-19;0.980067
6.87781e-19;0.980067
6.01809e-19;0.980067
5.26583e-19;0.980067
4.6076e-19;0.980067
4.03165e-19;0.980067
3.52769e-19;0.980067
3.08673e-19;0.980067
2.70089e-19;0.980067
2.36328e-19;0.980067
2.06787e-19;0.980067
1.80938e-19;0.980067
1.58321e-19;0.980067
1.38531e-19;0.980067
1.21215e-19;0.980067
1.06063e-19;0.980067
